deprecated,cpeName,cpeNameId,lastModified,created
False,cpe:2.3:a:3com:3cdaemon:-:*:*:*:*:*:*:*,BAE41D20-D4AF-4AF0-AA7D-3BD04DA402A7,2011-01-12T14:35:43.723,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3crwe454g72:-:*:*:*:*:*:*:*,DFB483A6-4F16-4B87-A385-F1D25796E5E3,2011-01-12T14:36:06.600,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:webbngss3nbxnts:-:*:*:*:*:*:*:*,D76DE3F0-1884-4065-939F-DF41DFE1B08B,2011-01-12T14:36:10.007,2007-08-23T21:05:57.937
False,cpe:2.3:a:3com:3cserver:-:*:*:*:*:*:*:*,FFADC2E2-6888-490E-98CB-6D86D2E893A6,2011-01-12T14:35:43.867,2007-08-23T21:05:57.937
False,cpe:2.3:a:3com:3ctftpsvc:-:*:*:*:*:*:*:*,70541E97-4633-4EAF-8A65-82B9A844FBF5,2011-01-12T14:35:44.163,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3crwe747a:-:*:*:*:*:*:*:*,45F867C2-CAC8-43D3-83CC-838B7E00B9B5,2011-01-12T14:36:07.537,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c16485:-:*:*:*:*:*:*:*,D532BD9F-F7F3-41AA-B46C-5AA25D596DCC,2011-01-12T14:36:02.490,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c16479:-:*:*:*:*:*:*:*,4C504D50-7EC4-4C97-A09B-EFBC2BB8CA56,2011-01-12T14:36:02.397,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c16486:-:*:*:*:*:*:*:*,A1693403-114E-4942-A635-D77039926791,2011-01-12T14:36:02.583,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3cb9e16:-:*:*:*:*:*:*:*,5937FAFD-44DD-4218-B1B0-7BD29CD0D7B9,2011-01-12T14:36:05.553,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:141701:-:*:*:*:*:*:*:*,C1310E7E-0C86-4183-B4B2-18A8303C6B99,2011-01-12T14:36:01.397,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3cr29223:-:*:*:*:*:*:*:*,78569149-A1DA-4C20-B72E-B32DDE22B668,2011-01-12T14:36:06.223,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3cnj220:-:*:*:*:*:*:*:*,EAD764F7-6E03-430A-A703-9601C32912CC,2011-01-12T14:36:05.647,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:nbx_1000:-:*:*:*:*:*:*:*,C1E2F4B9-646C-43F3-A461-CF7EA8D5A550,2011-01-12T14:36:08.303,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:netbuilder_2_bridge_router:-:*:*:*:*:*:*:*,458F1FC3-7514-4EAE-9E5D-3F973019C041,2011-01-12T14:36:08.397,2007-08-23T21:05:57.937
False,cpe:2.3:a:3com:3c15100d:-:*:*:*:*:*:*:*,78E49997-705F-4877-901D-85725D2B02DC,2011-01-12T14:35:43.020,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3cp4144:-:*:*:*:*:*:*:*,A27DD7AB-702A-4474-9868-4D8BE5574FBC,2011-01-12T14:36:05.850,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c840-us:-:*:*:*:*:*:*:*,565BD4F0-AD6C-4F3D-AC85-693381266E76,2011-01-12T14:36:05.193,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3crwe754g72-a:-:*:*:*:*:*:*:*,8B54CF6C-082C-4A61-A918-E7D36401D84E,2011-01-12T14:36:07.630,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3cr860-95:-:*:*:*:*:*:*:*,7BF31D6A-02A4-4D78-912D-FC1685A07901,2011-01-12T14:36:06.317,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c16450-us:-:*:*:*:*:*:*:*,0988AD94-8B2A-4C13-8E78-41CFF037B85F,2011-01-12T14:36:02.117,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c13612:-:*:*:*:*:*:*:*,DA942789-2035-47D1-90F6-05DDF57DED44,2011-01-12T14:36:01.490,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c13613:-:*:*:*:*:*:*:*,2C1C29BC-4A0A-4094-B164-FD414F5B41AC,2011-01-12T14:36:01.567,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c13616:-:*:*:*:*:*:*:*,5E47C766-CC90-4185-BC77-4A9E8281D667,2011-01-12T14:36:01.663,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c13700:-:*:*:*:*:*:*:*,006E9345-1B41-4ADB-A6F3-99E9A53F954B,2011-01-12T14:36:01.757,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c13750:-:*:*:*:*:*:*:*,AB51275C-8B0B-43C5-995E-7ECC82A8DCE1,2011-01-12T14:36:01.850,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c13754:-:*:*:*:*:*:*:*,3DDEFD37-177D-42EC-A4B5-B9C39664A530,2011-01-12T14:36:01.927,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c13758:-:*:*:*:*:*:*:*,8872913B-D7C5-44A2-B5C9-86F32C874678,2011-01-12T14:36:02.020,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c16988a-us:-:*:*:*:*:*:*:*,A8F3D7AD-B54F-46DA-95C5-9D9B882BAE38,2011-01-12T14:36:03.303,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c16987a-us:-:*:*:*:*:*:*:*,E1195C0D-A174-4B66-8AEE-661CC06C3323,2011-01-12T14:36:03.223,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c16986a-us:-:*:*:*:*:*:*:*,77C1A0DA-6D1D-45D6-899C-4445C39FB6BE,2011-01-12T14:36:03.130,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c17401:-:*:*:*:*:*:*:*,A7717763-CC8B-4F84-84CD-D9564F3D75F8,2011-01-12T14:36:04.207,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c17400:-:*:*:*:*:*:*:*,D9E25266-9EBC-4F46-831E-A63F02146516,2011-01-12T14:36:04.117,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c17300:-:*:*:*:*:*:*:*,F166C858-A511-41B6-8EB0-93D3E69F6345,2011-01-12T14:36:03.850,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c17304:-:*:*:*:*:*:*:*,379D2A66-F9E1-46B9-8238-FA8CD183C2F7,2011-01-12T14:36:04.020,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c17302:-:*:*:*:*:*:*:*,FE816980-505D-41FA-A998-98A7E3234FFF,2011-01-12T14:36:03.927,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c17100-us:-:*:*:*:*:*:*:*,03C44588-71F9-48C8-8A03-795AFB3FE373,2011-01-12T14:36:03.397,2007-08-23T21:05:57.937
False,cpe:2.3:h:3com:3c17203-us:-:*:*:*:*:*:*:*,496AAFE8-C9C2-4B3D-B801-9DC68D907680,2011-01-12T14:36:03.490,2007-08-23T21:05:57.937
